Time,IdTp,Action,RepId,lenghtString,Attendu,Observe,Verdic,Message,VersionOutil
2022-06-17 00:50:01.444216,2,b'\x00',b'\x01',NaN,b'\x01',success,pass,b'\x01\x01',v1
2022-06-17 00:50:01.449141,2,b'#',NaN,NaN,success,success,b' \x00',v1
